atco_code,line,direction,operator,destination,best_departure_estimate,source,datetime,temperature,humidity,pressure,wind_speed,weather_description,latitude,longitude
0100BRP90310,A1,"Bristol, Bus Station",FBRI,,21:43,"tnds, NextBuses",2024-12-12 21:43:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,A1,"Bristol, Bus Station",FBRI,,21:46,"tnds, NextBuses",2024-12-12 21:46:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,21:47,"tnds, NextBuses",2024-12-12 21:47:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90310,A1,"Bristol, Bus Station",FBRI,,22:13,"tnds, NextBuses",2024-12-12 22:13:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,72,Frenchay Campus (Stop A),FBRI,,22:15,"tnds, NextBuses",2024-12-12 22:15:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,A1,"Bristol, Bus Station",FBRI,,22:16,"tnds, NextBuses",2024-12-12 22:16:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,22:17,"tnds, NextBuses",2024-12-12 22:17:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90310,73,"Hengrove Park, Hengrove Depot",_noc_FBRI,,22:33,NextBuses,2024-12-12 22:33:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90310,73,Hengrove Bus Depot,FBRI,,22:43,tnds,2024-12-12 22:43:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90310,A1,"Bristol, Bus Station",FBRI,,22:44,"tnds, NextBuses",2024-12-12 22:44:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,A1,"Bristol, Bus Station",FBRI,,22:47,"tnds, NextBuses",2024-12-12 22:47:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,22:47,"tnds, NextBuses",2024-12-12 22:47:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,72,Frenchay Campus (Stop A),FBRI,,23:05,"tnds, NextBuses",2024-12-12 23:05:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90310,A1,"Bristol, Bus Station",FBRI,,23:15,"tnds, NextBuses",2024-12-12 23:15:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,23:17,"tnds, NextBuses",2024-12-12 23:17:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
0100BRP90312,A1,"Bristol, Bus Station",FBRI,,23:18,"tnds, NextBuses",2024-12-12 23:18:00,9.69,84,1020,4.02,light rain,51.5074,-0.1278
