atco_code,line,direction,operator,destination,best_departure_estimate,source,datetime,temperature,humidity,pressure,wind_speed,weather_description,latitude,longitude
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,13:47,tnds,2024-12-12 13:47:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90310,73,Hengrove Bus Depot,FBRI,,13:49,tnds,2024-12-12 13:49:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90310,70,Temple Meads Station,FBRI,,13:50,tnds,2024-12-12 13:50:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90310,A1,Bristol Bus Station,FBRI,,13:51,tnds,2024-12-12 13:51:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,Bristol Bus Station,FBRI,,13:56,tnds,2024-12-12 13:56:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,13:59,tnds,2024-12-12 13:59:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90310,A1,Bristol Bus Station,FBRI,,14:03,tnds,2024-12-12 14:03:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90312,70,UWE Frenchay Campus,FBRI,,14:05,tnds,2024-12-12 14:05:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,Bristol Bus Station,FBRI,,14:08,tnds,2024-12-12 14:08:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90312,72,UWE Frenchay Campus,FBRI,,14:10,tnds,2024-12-12 14:10:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90310,70,Temple Meads Station,FBRI,,14:10,tnds,2024-12-12 14:10:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,14:11,tnds,2024-12-12 14:11:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90312,71,Stoke Gifford Bristol Parkway Stn,SCGL,,14:12,tnds,2024-12-12 14:12:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90310,A1,Bristol Bus Station,FBRI,,14:15,tnds,2024-12-12 14:15:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,Bristol Bus Station,FBRI,,14:20,tnds,2024-12-12 14:20:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
0100BRP90310,73,Hengrove Bus Depot,FBRI,,14:23,tnds,2024-12-12 14:23:00,6.33,90,991,9.77,overcast clouds,51.5074,-0.1278
