atco_code,line,direction,operator,destination,best_departure_estimate,source,datetime,temperature,humidity,pressure,wind_speed,weather_description,latitude,longitude
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:12,"tnds, NextBuses",2024-12-12 16:12:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90310,70,Temple Meads Stn,FBRI,,16:14,"tnds, NextBuses",2024-12-12 16:14:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol, Bus Station",FBRI,,16:14,"tnds, NextBuses",2024-12-12 16:14:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90310,A1,"Bristol, Bus Station",FBRI,,16:21,"tnds, NextBuses",2024-12-12 16:21:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,71,"Stoke Gifford, Bristol Parkway Stn",SCGL,,16:22,"tnds, NextBuses",2024-12-12 16:22:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90310,73,"Hengrove Park, Hengrove Depot",FBRI,,16:22,"tnds, NextBuses",2024-12-12 16:22:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:25,"tnds, NextBuses",2024-12-12 16:25:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol, Bus Station",FBRI,,16:26,"tnds, NextBuses",2024-12-12 16:26:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,70,Frenchay Campus (Stop A1),FBRI,,16:27,"tnds, NextBuses",2024-12-12 16:27:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,SB7,"Bishopsworth, Vicarage Road",_noc_FBRI,,16:33,NextBuses,2024-12-12 16:33:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90310,70,Temple Meads Stn,FBRI,,16:34,"tnds, NextBuses",2024-12-12 16:34:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,SB7,"Bishopsworth, Vicarage Road",FBRI,,16:36,tnds,2024-12-12 16:36:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:37,"tnds, NextBuses",2024-12-12 16:37:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90310,A1,"Bristol, Bus Station",FBRI,,16:38,"tnds, NextBuses",2024-12-12 16:38:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol, Bus Station",FBRI,,16:43,"tnds, NextBuses",2024-12-12 16:43:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90310,73,"Hengrove Park, Hengrove Depot",_noc_FBRI,,16:46,NextBuses,2024-12-12 16:46:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:49,"tnds, NextBuses",2024-12-12 16:49:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90310,A1,"Bristol, Bus Station",FBRI,,16:50,"tnds, NextBuses",2024-12-12 16:50:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,70,Frenchay Campus (Stop A1),FBRI,,16:52,"tnds, NextBuses",2024-12-12 16:52:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
0100BRP90312,A1,"Bristol, Bus Station",FBRI,,16:55,"tnds, NextBuses",2024-12-12 16:55:00,9.5,74,1014,6.17,overcast clouds,51.5074,-0.1278
