atco_code,line,direction,operator,destination,best_departure_estimate,source,datetime
0100BRP90310,A1,Bristol Bus Station,FBRI,,00:16,tnds,2024-12-12 00:16:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,00:46,tnds,2024-12-12 00:46:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,01:46,tnds,2024-12-12 01:46:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,00:18,tnds,2024-12-12 00:18:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,00:48,tnds,2024-12-12 00:48:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,00:55,tnds,2024-12-12 00:55:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,01:48,tnds,2024-12-12 01:48:00
